step,episode,buffer_size,total_time,total_steps,ep_reward,ep_steps,ep_count,packages_lost,speed_mean,speed_max,BestLap,ep_bestLapTime,terminated,update_model_perf_mean,update_model_perf_max,update_model_perf_std,step_perf_mean,step_perf_max,step_perf_std,step_perf_q99,step_perf_> thres,action_perf_mean,action_perf_max,action_perf_std,actor_loss,critic_loss,critic1_quantile_loss,critic2_quantile_loss,alpha,alpha_loss,entropy,entropy_mean,q_pi_mean,algo
233,1,221276,82.04966425895691,236,3.284098541913175,234,1,0,1.6417748154052454,5.992187023162842,0.0,,,4.806866956511133e-07,1.6000000044869012e-06,1.675766452822297e-07,0.0400134540772541,0.0414221000000054,0.0006026962693105,0.0413459120000038,6,4.823390557935786e-05,0.0004657000000065,2.8619888801026936e-05,,,,,,,,,,SAC
631,2,221674,99.4647660255432,637,3.5468620302058134,399,2,0,1.0553196507074547,5.938258647918701,0.0,,,5.402010047681248e-07,3.3000000030369847e-06,2.722361518068144e-07,0.0400138065326634,0.0420188000000081,0.0008422282493644,0.0415288329999889,44,4.725577889409142e-05,0.0001812999999941,1.1963533546748277e-05,,,,,,,,,,SAC
927,3,221970,112.7511911392212,936,2.6155638023386,297,3,0,0.7708402063571362,3.5709939002990723,0.0,,,5.570945945515399e-07,4.4000000087862645e-06,4.626053618462473e-07,0.0400154114864863,0.0416049999999899,0.0005849825613046,0.041071824999998,7,4.587263513443539e-05,0.0001013999999912,8.830255180879155e-06,,,,,,,,,,SAC
1201,4,222244,125.18811106681824,1213,13.701330298098618,275,4,0,5.9614433738400905,12.106764793395996,0.0,,,4.872262765051857e-07,1.6999999843392288e-06,1.3048606495853161e-07,0.0400091613138696,0.0418841999999983,0.0006186470475592,0.0411052220000101,10,4.407627737240642e-05,0.0001412000000016,9.037855464909622e-06,,,,,,,,,,SAC
1277,5,222320,129.65216207504272,1292,4.168792159002311,77,5,0,6.432060474956215,12.451067924499512,0.0,,,4.855263168822507e-07,7.999999809271685e-07,8.691185335992508e-08,0.0400305250000006,0.0417099999999948,0.0006590293512599,0.0413556999999897,4,4.619473684080707e-05,8.729999998990934e-05,9.656970413514264e-06,,,,,,,,,,SAC
1513,6,222556,140.54423189163208,1531,2.408776467620751,237,6,0,0.9029734380641964,5.538050174713135,0.0,,,4.868644071401354e-07,2.20000001149856e-06,1.4857058649047921e-07,0.0400076627118653,0.0419354999999939,0.0007388089595955,0.041703369999999,12,4.456271186454788e-05,8.579999999369647e-05,7.64106098486063e-06,,,,,,,,,,SAC
1899,7,222942,157.45172142982483,1920,3.462752155650126,387,7,0,1.336062512649295,7.897977828979492,0.0,,,4.994818656732464e-07,2.3999999996249244e-06,2.247617994650222e-07,0.0400095888601027,0.0420244999999965,0.0007381902091786,0.0416598749999877,22,4.8338341968640895e-05,0.0001452999999855,1.3229987578478271e-05,,,,,,,,,,SAC
2136,8,223179,168.75488924980164,2160,3.3741720217908244,238,8,11,1.2954907803497857,5.225711345672607,0.0,,,0.0069819789029546,0.0297897999999747,0.006213105985976,0.0416995852320675,1.2534581000000171,0.0793071579909111,0.041166552000003,7,0.0071835004219401,1.2321680000000017,0.0797684608914298,,,,,,,,,,SAC
2432,9,223475,182.04201865196228,2459,4.8885580802979245,297,9,0,1.6194779841932516,5.076897621154785,0.0,,,0.0119015618243252,0.0294719999999983,0.0016695274588156,0.0400113993243237,0.0417323000000067,0.0006304774680899,0.0410276099999862,6,0.0053581479729725,0.0105211999999994,0.0005682694503255,,,,,,,,,,SAC
2594,10,223637,189.95088124275208,2624,3.4057016098021444,163,10,0,2.434601218064681,6.584081649780273,0.0,,,0.0119498462962954,0.0262936000000024,0.0021841123710834,0.0400178487654308,0.0413442999999915,0.0007417741323084,0.0412523270000102,8,0.0051522932098757,0.0105654999999842,0.0009992769342726,,,,,,,,,,SAC
2823,11,223866,200.55937886238095,2856,7.694708355280792,230,11,0,3.179382418555653,11.433588027954102,0.0,,,0.0119613139737977,0.0213396999999986,0.0014268648489861,0.0400144161572057,0.0415189999999938,0.000735869101559,0.0411523720000127,10,0.0054798694323152,0.0099996000000146,0.0005130366426563,,,,,,,,,,SAC
2940,12,223983,206.6778199672699,2976,7.440609066725821,118,12,0,5.915828582279234,12.791523933410645,0.0,,,0.0117691709401699,0.0186235999999837,0.0009267365809299,0.0400198247863265,0.0413438999999868,0.0007340712887088,0.0412371040000005,10,0.0051311094017086,0.0060242999999786,0.0003561272621319,-12.28583526611328,,,,0.7541303038597107,,2.0532562732696533,,,SAC
3341,13,224384,224.1769413948059,3380,5.14950197043065,402,13,0,1.4610086970288418,4.99530553817749,0.0,,,0.0119430531172073,0.024191299999984,0.0011732456644155,0.0400115957605992,0.0413756000000091,0.0006859736539568,0.0411555000000021,23,0.0052244915211963,0.0104417000000012,0.0006528035135554,,,,,,,,,,SAC
3481,14,224524,231.21159744262692,3523,1.8488515534905223,141,14,0,1.1838352920649349,3.248100519180298,0.0,,,0.012121900714284,0.025578500000023,0.0025013165102893,0.040019490714283,0.0415577999999925,0.0005909025369107,0.0413117969999981,5,0.0040657907142849,0.0109693999999933,0.0021507171918065,,,,,,,,,,SAC
3656,15,224699,239.6475839614868,3701,1.9672072516508248,176,15,0,1.010661507575688,7.842182636260986,0.0,,,0.0119371354285715,0.0259625999999855,0.0021007140820479,0.0400102759999991,0.0416620000000023,0.0007246677940742,0.0415919160000032,13,0.0041884560000023,0.0112196000000039,0.0020349429750558,,,,,,,,,,SAC
3775,16,224818,245.84804487228396,3823,4.022355378008045,120,16,0,4.220532141877144,9.39047622680664,0.0,,,0.0120899815126022,0.0274670000000014,0.0025551345656814,0.0400217352941195,0.0416196999999556,0.0005138401915511,0.0411536260000127,3,0.0050262361344495,0.0106818999999802,0.0009899006833908,,,,,,,,,,SAC
4185,17,225228,263.70525217056274,4236,3.6330775509586215,411,17,0,0.8757701236128675,5.760838508605957,0.0,,,0.0121190124390231,0.0253927999999632,0.0014222329696869,0.0400092239024377,0.0417697000000316,0.0007001105143525,0.0413588240000149,24,0.0052949707317078,0.0105032000000164,0.0005714050222357,,,,,,,,,,SAC
